start_time,end_time,o,h,l,c
2021-04-22 09:40:00,2021-04-22 13:40:00,54031.89,55521.48,53879.07,55064.34
2021-04-22 13:40:00,2021-04-22 17:40:00,55064.33,55166.19,54026.97,54030.86
2021-04-22 17:40:00,2021-04-22 21:40:00,54030.86,54147.17,50500.0,51866.47
2021-04-22 21:40:00,2021-04-23 01:40:00,51850.01,52234.74,50800.0,50800.0
2021-04-23 01:40:00,2021-04-23 05:40:00,50800.42,51427.93,48443.01,49678.41
2021-04-23 05:40:00,2021-04-23 09:40:00,49678.41,49937.27,47500.0,48008.25
2021-04-23 09:40:00,2021-04-23 13:40:00,48005.95,50300.0,47842.61,48756.66
2021-04-23 13:40:00,2021-04-23 17:40:00,48757.92,50126.48,48541.0,49650.0
2021-04-23 17:40:00,2021-04-23 21:40:00,49650.01,51301.34,49620.02,50687.95
2021-04-23 21:40:00,2021-04-24 01:40:00,50687.95,51166.22,49560.0,49752.74
2021-04-24 01:40:00,2021-04-24 05:40:00,49752.23,50631.16,49304.06,50401.15
2021-04-24 05:40:00,2021-04-24 09:40:00,50401.14,50544.86,49424.0,49698.17
2021-04-24 09:40:00,2021-04-24 13:40:00,49698.18,49800.0,48657.14,49571.55
2021-04-24 13:40:00,2021-04-24 17:40:00,49571.54,50360.63,48900.0,50078.07
2021-04-24 17:40:00,2021-04-24 21:40:00,50078.05,51000.0,49951.97,50899.02
2021-04-24 21:40:00,2021-04-25 01:40:00,50899.02,51000.0,49716.41,50100.01
2021-05-27 01:40:00,2021-05-27 05:40:00,38255.94,38300.68,37134.27,37605.99
2021-05-27 05:40:00,2021-05-27 09:40:00,37601.26,39495.69,37577.23,39157.14
2021-05-27 09:40:00,2021-05-27 13:40:00,39157.14,40411.14,38963.42,40109.98
2021-05-27 13:40:00,2021-05-27 17:40:00,40109.98,40355.57,38691.0,39053.91
2021-05-27 17:40:00,2021-05-27 21:40:00,39053.91,39250.0,38195.19,39150.0
2021-05-27 21:40:00,2021-05-28 01:40:00,39150.0,39150.0,37687.77,38222.36
2021-05-28 01:40:00,2021-05-28 05:40:00,38222.35,38416.74,37219.19,37307.57
